"","Kindom","Phylum","Class","Order","Family","Genus","Species"
"OTU_9596","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","",""
"OTU_9597","Bacteria","Chloroflexi","Chloroflexia","","","",""
"OTU_9598","Bacteria","Actinobacteria","","","","",""
"OTU_9599","Bacteria","BRC1","unidentified_BRC1","unidentified_BRC1","unidentified_BRC1","unidentified_BRC1","Omnitrophica_bacterium_OLB16"
"OTU_9600","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",""
"OTU_9601","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",""
"OTU_9602","Bacteria","Chloroflexi","MSB-5B2","","","",""
"OTU_9603","Bacteria","AC1","","","","",""
"OTU_9605","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","",""
"OTU_9606","Bacteria","Verrucomicrobia","OPB35_soil_group","","","",""
"OTU_9607","Bacteria","Planctomycetes","OM190","","","",""
"OTU_9608","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9610","Bacteria","Cyanobacteria","Chloroplast","unidentified_Chloroplast","unidentified_Chloroplast","unidentified_Chloroplast",""
"OTU_9611","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","",""
"OTU_9612","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",""
"OTU_9614","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",""
"OTU_9615","Bacteria","Planctomycetes","OM190","","","",""
"OTU_9616","Bacteria","Gemmatimonadetes","S0134_terrestrial_group","","","",""
"OTU_9617","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587",""
"OTU_9618","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","",""
"OTU_9619","Bacteria","Thermomicrobia","unidentified_Thermomicrobia","AKYG1722","","",""
"OTU_9620","Bacteria","TM6_(Dependentiae)","","","","",""
"OTU_9621","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","",""
"OTU_9622","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","unidentified_Blfdi19","Anaeromyxobacter_dehalogenans"
