"","S1.F.1.U","S2.F.U","S3.F.U","S4.F.U","S6.F.U","S7.F.U","S9.F.U","S10.F.U","S13.F.U","S14.F.U","S16.F.U","S18.F.U","S19.F.U","S20.F.U","S21.F.U","S22.F.U","S24.F.U","S25.F.U","S26.F.U","S27.F.U","S29.F.U","S30.F.U","S31.F.U","S32.F.U","S37.F.U","S40.F.U","S41.F.U","S42.F.U"
"OTU_153",10,9,27,14,38,23,20,17,17,30,16,27,82,52,34,29,9,39,39,32,25,20,6,47,21,24,32,34
"OTU_154",15,15,21,24,17,17,7,10,17,23,10,13,14,8,13,18,15,16,10,16,28,11,18,16,22,21,5,8
"OTU_155",23,4,12,27,28,9,30,9,22,16,11,19,23,48,32,27,8,80,33,45,47,2,7,52,33,6,33,11
"OTU_156",5,10,14,7,41,16,13,37,4,15,16,11,24,10,14,6,43,17,24,27,21,12,13,17,27,13,21,6
"OTU_157",25,26,18,12,9,28,28,25,19,23,11,7,11,31,10,11,44,8,5,8,19,10,5,2,6,2,9,8
"OTU_158",57,21,27,28,18,8,21,9,30,12,38,10,22,31,8,32,75,38,29,38,43,56,79,17,123,33,36,37
"OTU_159",5,1,1,11,0,19,41,4,6,5,13,29,60,16,30,43,4,7,4,9,11,5,8,12,23,16,18,8
"OTU_160",2,2,14,4,5,13,8,9,8,10,12,9,22,7,22,16,9,17,3,6,13,11,4,18,13,8,15,5
"OTU_161",20,21,17,24,8,14,8,27,8,7,29,16,5,13,7,7,5,12,22,9,15,14,16,10,16,21,20,17
"OTU_162",5,7,6,3,8,11,21,11,2,12,2,4,9,9,7,5,0,4,3,16,14,1,1,14,15,5,9,5
"OTU_163",19,5,10,24,0,6,29,6,37,15,6,186,5,17,7,15,14,18,18,15,36,4,12,11,9,7,11,7
"OTU_164",0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,5,0,0,0,0,1,5,1,0,2,3,0,0
"OTU_165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,38,8,0,0,1,0
"OTU_166",18,20,16,30,41,14,31,27,17,19,22,11,25,21,20,29,23,8,33,19,20,53,22,15,12,30,17,9
"OTU_167",22,25,12,33,77,26,39,24,24,38,10,18,23,34,14,25,5,15,33,22,24,18,5,5,22,20,19,1
"OTU_168",55,43,33,85,29,17,42,60,40,61,25,0,17,29,5,3,29,5,14,21,19,1,2,1,8,2,2,5
"OTU_169",3,2,17,2,0,73,2,1,6,7,4,6,62,17,32,9,34,17,11,8,6,1,2,1,9,3,4,1
"OTU_170",2,3,4,3,12,27,5,6,5,16,2,2,21,8,88,4,16,21,37,7,8,0,0,24,3,21,6,5
"OTU_171",2,0,2,3,0,14,11,4,7,6,8,10,8,4,5,6,2,4,1,0,13,24,6,9,8,26,16,8
"OTU_172",32,161,50,64,71,89,46,59,68,36,23,15,23,35,24,23,30,32,39,37,42,11,23,42,25,12,25,24
"OTU_173",3,3,13,3,1,7,12,3,8,12,16,17,28,7,5,19,7,6,2,9,10,5,5,11,11,2,9,3
"OTU_174",0,0,2,13,2,6,0,1,5,0,1,3,1,0,0,0,1,0,0,0,0,50,17,32,1,8,3,0
"OTU_175",8,5,7,11,18,13,11,7,3,6,4,9,7,10,11,12,0,2,7,26,23,0,1,5,0,6,18,3
"OTU_176",1,0,2,0,0,1,0,0,0,0,1,2,4,4,0,4,5,15,0,0,2,5,28,16,0,1,1,1
"OTU_177",8,17,8,12,8,9,9,12,7,11,28,3,9,22,10,5,39,29,4,22,22,33,23,13,25,18,4,7
"OTU_178",17,28,24,22,48,25,21,41,18,43,13,16,21,24,14,1,20,17,16,33,66,16,14,24,15,17,12,12
"OTU_179",15,11,33,29,44,11,23,17,31,11,4,11,8,49,5,13,2,2,9,21,14,5,7,0,2,6,5,10
